,Model,Dataset,Fold,Score,Metric
0,Chen et al.,banknote-authentication,0,0.9345454545454546,accuracy
1,Chen et al.,banknote-authentication,0,0.9127272727272727,adversarial accuracy
2,Chen et al.,banknote-authentication,1,0.92,accuracy
3,Chen et al.,banknote-authentication,1,0.9127272727272727,adversarial accuracy
4,Chen et al.,banknote-authentication,2,0.9525547445255474,accuracy
5,Chen et al.,banknote-authentication,2,0.9233576642335767,adversarial accuracy
6,Chen et al.,banknote-authentication,3,0.948905109489051,accuracy
7,Chen et al.,banknote-authentication,3,0.9343065693430657,adversarial accuracy
8,Chen et al.,banknote-authentication,4,0.9635036496350365,accuracy
9,Chen et al.,banknote-authentication,4,0.9598540145985401,adversarial accuracy
10,Chen et al.,blood-transfusion,0,0.7933333333333333,accuracy
11,Chen et al.,blood-transfusion,0,0.7933333333333333,adversarial accuracy
12,Chen et al.,blood-transfusion,1,0.7733333333333333,accuracy
13,Chen et al.,blood-transfusion,1,0.7733333333333333,adversarial accuracy
14,Chen et al.,blood-transfusion,2,0.78,accuracy
15,Chen et al.,blood-transfusion,2,0.78,adversarial accuracy
16,Chen et al.,blood-transfusion,3,0.785234899328859,accuracy
17,Chen et al.,blood-transfusion,3,0.785234899328859,adversarial accuracy
18,Chen et al.,blood-transfusion,4,0.7114093959731543,accuracy
19,Chen et al.,blood-transfusion,4,0.7114093959731543,adversarial accuracy
20,Chen et al.,breast-cancer,0,0.9298245614035088,accuracy
21,Chen et al.,breast-cancer,0,0.9298245614035088,adversarial accuracy
22,Chen et al.,breast-cancer,1,0.9385964912280702,accuracy
23,Chen et al.,breast-cancer,1,0.9385964912280702,adversarial accuracy
24,Chen et al.,breast-cancer,2,0.9210526315789473,accuracy
25,Chen et al.,breast-cancer,2,0.9122807017543859,adversarial accuracy
26,Chen et al.,breast-cancer,3,0.9298245614035088,accuracy
27,Chen et al.,breast-cancer,3,0.9122807017543859,adversarial accuracy
28,Chen et al.,breast-cancer,4,0.9380530973451328,accuracy
29,Chen et al.,breast-cancer,4,0.9380530973451328,adversarial accuracy
30,Chen et al.,climate-model-simulation,0,0.9166666666666666,accuracy
31,Chen et al.,climate-model-simulation,0,0.8425925925925926,adversarial accuracy
32,Chen et al.,climate-model-simulation,1,0.9074074074074074,accuracy
33,Chen et al.,climate-model-simulation,1,0.8888888888888888,adversarial accuracy
34,Chen et al.,climate-model-simulation,2,0.9074074074074074,accuracy
35,Chen et al.,climate-model-simulation,2,0.8333333333333334,adversarial accuracy
36,Chen et al.,climate-model-simulation,3,0.9166666666666666,accuracy
37,Chen et al.,climate-model-simulation,3,0.7777777777777778,adversarial accuracy
38,Chen et al.,climate-model-simulation,4,0.9166666666666666,accuracy
39,Chen et al.,climate-model-simulation,4,0.8796296296296297,adversarial accuracy
40,Chen et al.,cylinder-bands,0,0.6964285714285714,accuracy
41,Chen et al.,cylinder-bands,0,0.6964285714285714,adversarial accuracy
42,Chen et al.,cylinder-bands,1,0.7321428571428571,accuracy
43,Chen et al.,cylinder-bands,1,0.7321428571428572,adversarial accuracy
44,Chen et al.,cylinder-bands,2,0.5818181818181818,accuracy
45,Chen et al.,cylinder-bands,2,0.5818181818181818,adversarial accuracy
46,Chen et al.,cylinder-bands,3,0.5818181818181818,accuracy
47,Chen et al.,cylinder-bands,3,0.5818181818181818,adversarial accuracy
48,Chen et al.,cylinder-bands,4,0.7272727272727273,accuracy
49,Chen et al.,cylinder-bands,4,0.7272727272727273,adversarial accuracy
50,Chen et al.,diabetes,0,0.7012987012987013,accuracy
51,Chen et al.,diabetes,0,0.7012987012987013,adversarial accuracy
52,Chen et al.,diabetes,1,0.7142857142857143,accuracy
53,Chen et al.,diabetes,1,0.7142857142857143,adversarial accuracy
54,Chen et al.,diabetes,2,0.7662337662337663,accuracy
55,Chen et al.,diabetes,2,0.7662337662337663,adversarial accuracy
56,Chen et al.,diabetes,3,0.7254901960784313,accuracy
57,Chen et al.,diabetes,3,0.7254901960784313,adversarial accuracy
58,Chen et al.,diabetes,4,0.738562091503268,accuracy
59,Chen et al.,diabetes,4,0.738562091503268,adversarial accuracy
60,Chen et al.,haberman,0,0.6774193548387096,accuracy
61,Chen et al.,haberman,0,0.6612903225806452,adversarial accuracy
